fecha,encuestadora,consulta,candidato,int_voto,muestra,margen_error
2022-02-05,CNC,Pacto Historico,Gustavo Petro,77,2206,2.1
2022-02-05,CNC,Pacto Historico,Francia Marquez,12,2206,2.1
2022-02-05,CNC,Pacto Historico,Camilo Romero,4,2206,2.1
2022-02-05,CNC,Pacto Historico,Arelis Uriana,4,2206,2.1
2022-02-05,CNC,Pacto Historico,Alfredo Saade,1,2206,2.1
2022-03-04,Invamer,Pacto Historico,Gustavo Petro,78.6,1504,2.92
2022-03-04,Invamer,Pacto Historico,Francia Marquez,13.5,1504,2.92
2022-03-04,Invamer,Pacto Historico,Camilo Romero,5.9,1504,2.92
2022-03-04,Invamer,Pacto Historico,Arelis Uriana,1.7,1504,2.92
2022-03-04,Invamer,Pacto Historico,Alfredo Saade,0.3,1504,2.92
2022-03-04,Guarumo,Pacto Historico,Gustavo Petro,81.6,2345,2.5
2022-03-04,Guarumo,Pacto Historico,Francia Marquez,10.5,2345,2.5
2022-03-04,Guarumo,Pacto Historico,Camilo Romero,5.9,2345,2.5
2022-03-04,Guarumo,Pacto Historico,Arelis Uriana,1.8,2345,2.5
2022-03-04,Guarumo,Pacto Historico,Alfredo Saade,0.2,2345,2.5
2022-02-05,CNC,Centro Esperanza,Sergio Fajardo,37.5,2206,2.1
2022-02-05,CNC,Centro Esperanza,Juan Manuel Galan,22.1,2206,2.1
2022-02-05,CNC,Centro Esperanza,Alejandro Gaviria,21.5,2206,2.1
2022-02-05,CNC,Centro Esperanza,Carlos Amaya,10.4,2206,2.1
2022-02-05,CNC,Centro Esperanza,Jorge Enrique Robledo,8.5,2206,2.1
2022-03-04,Invamer,Centro Esperanza,Sergio Fajardo,37.8,1504,2.92
2022-03-04,Invamer,Centro Esperanza,Juan Manuel Galan,23.9,1504,2.92
2022-03-04,Invamer,Centro Esperanza,Alejandro Gaviria,12.9,1504,2.92
2022-03-04,Invamer,Centro Esperanza,Carlos Amaya,14.9,1504,2.92
2022-03-04,Invamer,Centro Esperanza,Jorge Enrique Robledo,10.5,1504,2.92
2022-03-04,Guarumo,Centro Esperanza,Sergio Fajardo,37.5,2345,2.5
2022-03-04,Guarumo,Centro Esperanza,Juan Manuel Galan,22.1,2345,2.5
2022-03-04,Guarumo,Centro Esperanza,Alejandro Gaviria,21.5,2345,2.5
2022-03-04,Guarumo,Centro Esperanza,Carlos Amaya,10.4,2345,2.5
2022-03-04,Guarumo,Centro Esperanza,Jorge Enrique Robledo,8.5,2345,2.5
2022-02-05,CNC,Equipo por Colombia,Federico Gutierrez,33.4,2206,2.1
2022-02-05,CNC,Equipo por Colombia,Alex Char,30,2206,2.1
2022-02-05,CNC,Equipo por Colombia,David Barguil,6,2206,2.1
2022-02-05,CNC,Equipo por Colombia,Enrique Peñalosa,21,2206,2.1
2022-02-05,CNC,Equipo por Colombia,Aydee Lizarazo,5,2206,2.1
2022-03-04,Invamer,Equipo por Colombia,Federico Gutierrez,28.9,1504,2.92
2022-03-04,Invamer,Equipo por Colombia,Alex Char,24.7,1504,2.92
2022-03-04,Invamer,Equipo por Colombia,David Barguil,15.5,1504,2.92
2022-03-04,Invamer,Equipo por Colombia,Enrique Peñalosa,18.7,1504,2.92
2022-03-04,Invamer,Equipo por Colombia,Aydee Lizarazo,12.3,1504,2.92
2022-03-04,Guarumo,Equipo por Colombia,Federico Gutierrez,33.4,2345,2.5
2022-03-04,Guarumo,Equipo por Colombia,Alex Char,29.2,2345,2.5
2022-03-04,Guarumo,Equipo por Colombia,David Barguil,21.4,2345,2.5
2022-03-04,Guarumo,Equipo por Colombia,Enrique Peñalosa,11.8,2345,2.5
2022-03-04,Guarumo,Equipo por Colombia,Aydee Lizarazo,4.2,2345,2.5
2022-02-16,Cifras y Conceptos,Equipo por Colombia,Federico Gutierrez,20,671,4.5
2022-02-16,Cifras y Conceptos,Equipo por Colombia,Alex Char,24,671,4.5
2022-02-16,Cifras y Conceptos,Equipo por Colombia,David Barguil,36,671,4.5
2022-02-16,Cifras y Conceptos,Equipo por Colombia,Enrique Peñalosa,14,671,4.5
2022-02-16,Cifras y Conceptos,Equipo por Colombia,Aydee Lizarazo,6,671,4.5
