n,encuestadora,fecha,muestra,tasa_respuesta,alejandro_gaviria,sergio_fajardo,juan_m_galan,ingrid_betancourt,alex_char,david_barguil,enrique_penalosa,federico_gutierrez,oscar_i_zuluaga,rodolfo_hernandez,gustavo_petro,otros,blanco,ns_nr,margen_error,fuente,link,muestreo,hipotesis,tipo,muestra_int_voto,municipios
1,CNC,2022-02-05,2206,NA,2,6,4,7,5,1,2,4,4,14,27,1,11,6,2.1,"Semana","https://www.semana.com/nacion/articulo/el-huracan-ingrid-ya-es-la-tercera-en-intencion-de-voto-a-la-presidencia-despues-de-gustavo-petro-y-rodolfo-hernandez/202220/","Estratificado municipios",NA,presencial,2206,43
2,YanHaas,2022-02-06,1225,NA,1,7,3,2,5,1,2,3,4,12,27,19,8,NA,3.3,"RCN","https://www.rcnradio.com/politica/petro-y-los-indecisos-lideran-la-intencion-de-voto-en-la-gran-encuesta","Estratificado",NA,presencial,1225,NA
3,CELAG,2022-02-08,2126,NA,3.4,7.2,2.3,NA,11.3,NA,0.1,2.2,3.2,4.1,28.1,NA,11.8,10.1,2.19,"CELAG","https://www.celag.org/encuesta-colombia-febrero-2022/",NA,NA,telefonica,2126,NA
4,Guarumo,2022-03-06,2345,NA,3.4,9.1,3.4,3.3,6.4,3.5,1.4,7.7,5.3,8.2,32.7,6.9,4.8,2.4,2.5,"El Tiempo","https://www.eltiempo.com/elecciones-2022/consultas/elecciones-2022-petro-fico-y-fajardo-ganarian-consultas-segun-encuesta-656266","Estratificado municipios",NA,presencial,2345,36
5,AtlasIntel,2022-03-12,2736,NA,1.9,11.3,4.8,1.5,7.0,NA,NA,11.4,2.4,11.2,35.2,NA,2.4,6.6,2.5,"AtlasIntel","https://atlasintel.org/poll/colombia-national-2022-03-12","Post estratificacion",NA,digital,2736,390
6,CNC,2022-03-20,2143,NA,NA,10,NA,3,NA,NA,NA,23,NA,10,32,2,5,2,2.1,"Semana","https://www.semana.com/nacion/articulo/federico-gutierrez-se-dispara-y-se-convierte-en-el-principal-rival-de-gustavo-petro-encuesta-del-cnc-para-semana/202201/","Estratificado municipios",NA,"telefonico y presencial",2143,43
7,YanHaas,2022-03-21,1236,NA,NA,10,NA,2,NA,NA,NA,19,NA,11,37,0.5,16,5,3.2,"La FM","https://www.lafm.com.co/politica/la-gran-encuesta-petro-encabeza-intencion-de-voto-para-las-presidenciales-seguido-por-fico","Estratificado municipios",NA,presencial,1236,60
8,MassiveCaller,2022-03-21,1000,NA,NA,10.1,NA,2.4,NA,NA,NA,22.1,NA,8.9,33.5,1,22.1,NA,3.4,MassiveCaller,"https://www.massivecaller.com/files/colombia.pdf",NA,NA,telefonica,1000,NA
9,MassiveCaller,2022-03-29,1000,NA,NA,12.3,NA,2.6,NA,NA,NA,27.6,NA,9.5,32.4,1,14.4,NA,3.4,MassiveCaller,"https://www.massivecaller.com/files/colombia.pdf",NA,NA,telefonica,1000,NA
10,CNC,2022-04-02,4206,NA,NA,8.4,NA,1.5,NA,NA,NA,24.5,NA,10,36.5,0.3,8.1,6.8,1.5,"Semana","https://www.semana.com/nacion/articulo/segunda-vuelta-presidencial-de-infarto-fico-gutierrez-esta-a-solo-tres-puntos-de-gustavo-petro/202242/","Estratificado municipios",NA,"telefonico y presencial",4206,75
11,Guarumo,2022-04-03,1865,NA,NA,9.5,NA,2.6,NA,NA,NA,25,NA,9.3,34,1.9,10.3,7.4,2.5,"El Tiempo","https://www.eltiempo.com/elecciones-2022/presidencia/fico-y-petro-se-encaminan-a-un-renido-final-en-segunda-vuelta-662689","Estratificado municipios",NA,telefonica,1865,39
12,MassiveCaller,2022-04-05,1000,NA,NA,10.8,NA,2.3,NA,NA,NA,28.7,NA,10.7,34.4,1,12.1,NA,3.4,MassiveCaller,"https://www.massivecaller.com/files/colombia.pdf",NA,NA,telefonica,1000,NA
13,CNC,2022-04-07,1965,NA,NA,9,NA,2,NA,NA,NA,23,NA,12,34,1,4,12,2.2,"CM&","https://www.eltiempo.com/elecciones-2022/nueva-encuesta-empate-tecnico-entre-petro-y-fico-en-segunda-vuelta-663912","Estratificado municipios",NA,telefonica,1965,66
14,MassiveCaller,2022-04-13,1000,NA,NA,10,NA,1.8,NA,NA,NA,27.2,NA,9.3,32.9,0.8,18,NA,3.4,MassiveCaller,"https://twitter.com/MassiveCaller/status/1514306720272719873/photo/1",NA,NA,telefonica,1000,NA
15,MassiveCaller,2022-04-19,1000,NA,NA,10.4,NA,1.4,NA,NA,NA,29.9,NA,8.3,31.5,1.8,16.7,NA,3.4,MassiveCaller,"https://twitter.com/MassiveCaller/status/1516790540922142730/photo/3",NA,NA,telefonica,1000,NA
16,CELAG,2022-04-21,3064,NA,NA,9.2,NA,1.0,NA,NA,NA,21.8,NA,11.5,42.6,0.8,6.6,5.1,2.19,"CELAG","https://www.celag.org/encuesta-colombia-abril-2022/",NA,NA,presencial,3064,NA
17,CNC,2022-04-22,4599,NA,NA,7.2,NA,0.9,NA,NA,NA,23.8,NA,9.6,38,0.4,7.6,8.8,1.4,"Semana","https://www.semana.com/nacion/articulo/atencion-gustavo-petro-consolida-su-ventaja-y-se-perfila-como-el-proximo-presidente-encuesta-del-cnc/202237/","Estratificado municipios",NA,"telefonico y presencial",4599,101
18,MassiveCaller,2022-04-28,1000,NA,NA,8.9,NA,1.6,NA,NA,NA,31.6,NA,7.5,33.8,2.2,14.4,NA,3.4,MassiveCaller,"https://twitter.com/MassiveCaller/status/1519708136537477124",NA,NA,telefonica,1000,NA
19,Invamer,2022-04-29,2000,NA,NA,6.5,NA,0.5,NA,NA,NA,26.7,NA,13.9,43.6,3.1,5.7,NA,2.55,"Caracol, El Espectador, Bluradio","https://www.bluradio.com/nacion/elecciones/presidenciales/invamer-petro-puntea-en-intencion-de-voto-pero-habria-segunda-vuelta-fico-se-dispara-pr30","Estratificado municipios",NA,presencial,1409,84
20,Guarumo,2022-05-01,2132,NA,NA,6.9,NA,1.3,NA,NA,NA,30.6,NA,12.4,36.4,2.4,5.7,4.3,2.5,"El Tiempo","https://www.eltiempo.com/elecciones-2022/presidencia/encuesta-de-guarumo-petro-y-fico-favoritos-para-primera-vuelta-668979","Estratificado municipios",NA,presencial,2132,28
21,MassiveCaller,2022-05-04,1000,NA,NA,8.1,NA,1.5,NA,NA,NA,30.4,NA,8.8,35.2,1.8,14.2,NA,3.4,MassiveCaller,"https://twitter.com/MassiveCaller/status/1521872527450071046/photo/1",NA,NA,telefonica,1000,NA
22,YanHaas,2022-05-10,1232,NA,NA,7,NA,1,NA,NA,NA,21,NA,12,40,0.6,13,6,3.4,"La FM","https://www.noticiasrcn.com/elecciones/elecciones-2022-resultados-gran-encuesta-rcn-mayo-418885?utm_medium=Social&utm_source=Twitter#Echobox=1652228385-2","Estratificado municipios",NA,presencial,1232,60
23,MassiveCaller,2022-05-12,1000,NA,NA,8.7,NA,2.2,NA,NA,NA,28.9,NA,10.7,35.8,2.6,11.1,NA,3.4,MassiveCaller,"https://twitter.com/MassiveCaller/status/1524776339668180992/photo/1",NA,NA,telefonica,1000,NA
24,CNC,2022-05-15,6204,NA,NA,7,NA,1,NA,NA,NA,23,NA,16,38,1,6,4,1.2,"Encina S.A.S","https://www.portafolio.co/elecciones-2022/encuesta-del-cnc-petro-fico-y-rodolfo-los-candidatos-con-mas-intencion-de-voto-565448","Estratificado municipios",NA,"telefonico y presencial",6204,116
25,TYSE,2022-05-17,8000,NA,NA,6.06,NA,0.88,NA,NA,NA,21.40,NA,10.90,36.64,2.46,6.19,14.39,2.7,"TYSE tecnología y servicios electorales","https://www.eltiempo.com/uploads/files/2022/05/16/EncuestaPresidencialTYSE_Mayo2022.pdf","Estratificado",NA,telefonica,8000,NA
26,MassiveCaller,2022-05-18,1000,NA,NA,5.4,NA,1.6,NA,NA,NA,27.5,NA,12.9,36.5,2.8,14.3,NA,3.4,MassiveCaller,"https://twitter.com/MassiveCaller/status/1527088029416005633/photo/1",NA,NA,telefonica,1000,NA
27,Mosqueteros,2022-05-19,6000,NA,NA,6.92,NA,0.61,NA,NA,NA,22.42,NA,15.84,44.73,1.56,7.93,NA,1.27,"JPG Mercados","https://www.wradio.com.co/2022/05/19/encuesta-mosqueteros-petro-con-4473-fico-con-2242-y-rodolfo-hernandez-con-1584-lideran-intencion-de-voto/","Estratificado ciudades",NA,presencial,NA,NA
